seed,cmi_boundary_fpr,cmi_all_edge_rate,cmi_within_true_edge_recall,do_boundary_fpr,do_all_edge_rate,do_within_true_edge_recall,dibt_boundary_fpr,dibt_all_edge_rate,dibt_within_true_edge_recall
0,0.0,0.48214285714285715,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.4642857142857143,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.5357142857142857,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.5357142857142857,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.35714285714285715,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.44642857142857145,1.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.20833333333333334,0.5357142857142857,1.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.041666666666666664,0.39285714285714285,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.041666666666666664,0.375,1.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.44642857142857145,1.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.08333333333333333,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.39285714285714285,1.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.20833333333333334,0.4642857142857143,1.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.44642857142857145,1.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.42857142857142855,1.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.4642857142857143,1.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.375,1.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.48214285714285715,1.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.48214285714285715,1.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.30357142857142855,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.5357142857142857,1.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.35714285714285715,1.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.35714285714285715,1.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.16666666666666666,0.625,1.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,0.44642857142857145,1.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.0,0.4642857142857143,1.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.0,0.44642857142857145,1.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0.0,0.42857142857142855,1.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0.20833333333333334,0.5357142857142857,1.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0.3333333333333333,0.6071428571428571,1.0,0.0,0.0,0.0,0.0,0.0,0.0
