seed,condition,damage_time,repair_time,recovery_time_after_damage,boundary_edge_function_recovery,ood_response,ood_response_recovery_ratio,viability_threshold,post_repair_viability
0,INTACT_NO_DAMAGE,299,600,301.0,1.0,0.3676063100797021,1.0,0.6634982750674066,0.7633333333333333
0,DAMAGE_NO_REPAIR,299,600,,0.0,0.12469618553744248,0.3392112216746405,0.6634982750674066,0.9033333333333333
0,DAMAGE_WITH_REPAIR,299,600,570.0,1.0,0.24544517024950185,0.6676848669879631,0.6634982750674066,0.88
1,INTACT_NO_DAMAGE,299,600,301.0,1.0,0.39522819857694075,1.0,0.6447640484499066,0.74
1,DAMAGE_NO_REPAIR,299,600,,0.0,0.13449874176123855,0.3403065425126925,0.6447640484499066,0.9266666666666666
1,DAMAGE_WITH_REPAIR,299,600,570.0,1.0,0.2660297810500129,0.6731042521962758,0.6447640484499066,0.8633333333333333
2,INTACT_NO_DAMAGE,299,600,301.0,1.0,0.4032915235496481,1.0,0.6413641464939314,0.7366666666666667
2,DAMAGE_NO_REPAIR,299,600,,0.0,0.13423557926131438,0.3328499892083376,0.6413641464939314,0.9
2,DAMAGE_WITH_REPAIR,299,600,570.0,1.0,0.28089826174220756,0.6965141723531091,0.6413641464939314,0.8366666666666667
3,INTACT_NO_DAMAGE,299,600,301.0,1.0,0.3713836173131328,1.0,0.6478675178644724,0.84
3,DAMAGE_NO_REPAIR,299,600,,0.0,0.12584063271447876,0.3388427137010085,0.6478675178644724,0.9266666666666666
3,DAMAGE_WITH_REPAIR,299,600,570.0,1.0,0.2098623771732047,0.5650824844981216,0.6478675178644724,0.92
4,INTACT_NO_DAMAGE,299,600,301.0,1.0,0.37879726124358126,1.0,0.6613301820475546,0.7233333333333334
4,DAMAGE_NO_REPAIR,299,600,,0.0,0.1340717473129585,0.3539406459085912,0.6613301820475546,0.9033333333333333
4,DAMAGE_WITH_REPAIR,299,600,570.0,1.0,0.2616565866505207,0.6907562789432773,0.6613301820475546,0.8333333333333334
5,INTACT_NO_DAMAGE,299,600,301.0,1.0,0.3839300905237944,1.0,0.65142237989348,0.7533333333333333
5,DAMAGE_NO_REPAIR,299,600,,0.0,0.12464165413076127,0.32464674482980255,0.65142237989348,0.91
5,DAMAGE_WITH_REPAIR,299,600,570.0,1.0,0.293105733009825,0.7634351676107021,0.65142237989348,0.8666666666666667
6,INTACT_NO_DAMAGE,299,600,301.0,1.0,0.3667639596676121,1.0,0.6688098981239344,0.7666666666666667
6,DAMAGE_NO_REPAIR,299,600,,0.0,0.09742169101777212,0.26562503880169325,0.6688098981239344,0.89
6,DAMAGE_WITH_REPAIR,299,600,570.0,1.0,0.2676146184130912,0.7296644377370743,0.6688098981239344,0.8566666666666667
7,INTACT_NO_DAMAGE,299,600,301.0,1.0,0.3606052139147961,1.0,0.670402929755473,0.76
7,DAMAGE_NO_REPAIR,299,600,,0.0,0.10928711124666227,0.3030658100037473,0.670402929755473,0.91
7,DAMAGE_WITH_REPAIR,299,600,570.0,1.0,0.22777341661970646,0.6316420501715897,0.670402929755473,0.8766666666666667
8,INTACT_NO_DAMAGE,299,600,301.0,1.0,0.4076095440596261,1.0,0.6368836783075827,0.7033333333333334
8,DAMAGE_NO_REPAIR,299,600,,0.0,0.18846879133102268,0.4623758056642879,0.6368836783075827,0.8733333333333333
8,DAMAGE_WITH_REPAIR,299,600,570.0,1.0,0.30407791776497045,0.7460029388332703,0.6368836783075827,0.7966666666666666
9,INTACT_NO_DAMAGE,299,600,301.0,1.0,0.3888161509428494,1.0,0.665009033294733,0.7766666666666666
9,DAMAGE_NO_REPAIR,299,600,,0.0,0.12095847572234286,0.31109426763530224,0.665009033294733,0.88
9,DAMAGE_WITH_REPAIR,299,600,570.0,1.0,0.25151795691493967,0.6468814536253905,0.665009033294733,0.8666666666666667
10,INTACT_NO_DAMAGE,299,600,301.0,1.0,0.33423256287159137,1.0,0.6528050713847591,0.7466666666666667
10,DAMAGE_NO_REPAIR,299,600,,0.0,0.12813419749089053,0.38336838394803063,0.6528050713847591,0.9333333333333333
10,DAMAGE_WITH_REPAIR,299,600,570.0,1.0,0.25928232368227117,0.7757542276988874,0.6528050713847591,0.8866666666666667
11,INTACT_NO_DAMAGE,299,600,301.0,1.0,0.35187647207458256,1.0,0.6605971222977263,0.7633333333333333
11,DAMAGE_NO_REPAIR,299,600,,0.0,0.11052858822522069,0.3141119028890156,0.6605971222977263,0.8966666666666666
11,DAMAGE_WITH_REPAIR,299,600,570.0,1.0,0.22607797764603524,0.6424924528574804,0.6605971222977263,0.86
12,INTACT_NO_DAMAGE,299,600,301.0,1.0,0.35701929198528976,1.0,0.6476151670788353,0.7066666666666667
12,DAMAGE_NO_REPAIR,299,600,,0.0,0.15078514555777092,0.42234453135373906,0.6476151670788353,0.9
12,DAMAGE_WITH_REPAIR,299,600,570.0,1.0,0.19766641317820483,0.5536575126767919,0.6476151670788353,0.8333333333333334
13,INTACT_NO_DAMAGE,299,600,301.0,1.0,0.3507786765556632,1.0,0.6490224787277344,0.7966666666666666
13,DAMAGE_NO_REPAIR,299,600,,0.0,0.12009986322493588,0.34238074105361954,0.6490224787277344,0.9
13,DAMAGE_WITH_REPAIR,299,600,570.0,1.0,0.2761247581317607,0.7871765776730272,0.6490224787277344,0.8566666666666667
14,INTACT_NO_DAMAGE,299,600,301.0,1.0,0.3280983104395006,1.0,0.6414931369006678,0.7766666666666666
14,DAMAGE_NO_REPAIR,299,600,,0.0,0.09124333025268842,0.27809753159187073,0.6414931369006678,0.9233333333333333
14,DAMAGE_WITH_REPAIR,299,600,570.0,1.0,0.18655739482149805,0.5686021198085326,0.6414931369006678,0.8966666666666666
15,INTACT_NO_DAMAGE,299,600,301.0,1.0,0.3843598713397046,1.0,0.6740438286416481,0.7833333333333333
15,DAMAGE_NO_REPAIR,299,600,,0.0,0.18225592474195074,0.474180418748422,0.6740438286416481,0.8633333333333333
15,DAMAGE_WITH_REPAIR,299,600,570.0,1.0,0.2836049761013177,0.7378631258065496,0.6740438286416481,0.8533333333333334
16,INTACT_NO_DAMAGE,299,600,301.0,1.0,0.34166885883388604,1.0,0.6534186675726076,0.78
