seed,cmi_boundary_mcc,cmi_boundary_precision,cmi_boundary_recall,cmi_boundary_specificity,cmi_boundary_edge_rate,cmi_graph_mcc,cmi_graph_precision,cmi_graph_recall,cmi_graph_specificity,cmi_graph_edge_rate,do_boundary_mcc,do_boundary_precision,do_boundary_recall,do_boundary_specificity,do_boundary_edge_rate,do_graph_mcc,do_graph_precision,do_graph_recall,do_graph_specificity,do_graph_edge_rate,dibt_boundary_mcc,dibt_boundary_precision,dibt_boundary_recall,dibt_boundary_specificity,dibt_boundary_edge_rate,dibt_graph_mcc,dibt_graph_precision,dibt_graph_recall,dibt_graph_specificity,dibt_graph_edge_rate,delta_mcc_cmi,delta_mcc_do,viability_threshold,viability_intact_ood,viability_boundary_removed_ood
0,0.816496580927726,0.75,1.0,0.8888888888888888,0.3333333333333333,0.7424837043882184,0.6153846153846154,1.0,0.8958333333333334,0.23214285714285715,1.0,1.0,1.0,1.0,0.25,1.0,1.0,1.0,1.0,0.14285714285714285,1.0,1.0,1.0,1.0,0.25,1.0,1.0,1.0,1.0,0.14285714285714285,0.18350341907227397,0.0,0.6634982750674066,0.7654166666666666,0.9033333333333333
1,0.6276459144608478,0.5454545454545454,1.0,0.7222222222222222,0.4583333333333333,0.5697029081098077,0.42105263157894735,1.0,0.7708333333333334,0.3392857142857143,1.0,1.0,1.0,1.0,0.25,0.9258200997725515,1.0,0.875,1.0,0.125,1.0,1.0,1.0,1.0,0.25,0.9258200997725515,1.0,0.875,1.0,0.125,0.37235408553915217,0.0,0.6447640484499066,0.745,0.8995833333333333
2,0.8997354108424374,0.8571428571428571,1.0,0.9444444444444444,0.2916666666666667,0.7424837043882184,0.6153846153846154,1.0,0.8958333333333334,0.23214285714285715,1.0,1.0,1.0,1.0,0.25,1.0,1.0,1.0,1.0,0.14285714285714285,1.0,1.0,1.0,1.0,0.25,1.0,1.0,1.0,1.0,0.14285714285714285,0.10026458915756264,0.0,0.6413641464939314,0.7429166666666667,0.8916666666666667
3,0.7453559924999299,0.6666666666666666,1.0,0.8333333333333334,0.375,0.6454972243679028,0.5,1.0,0.8333333333333334,0.2857142857142857,1.0,1.0,1.0,1.0,0.25,0.9258200997725515,1.0,0.875,1.0,0.125,1.0,1.0,1.0,1.0,0.25,0.9258200997725515,1.0,0.875,1.0,0.125,0.2546440075000701,0.0,0.6478675178644724,0.73,0.8895833333333333
4,0.8997354108424374,0.8571428571428571,1.0,0.9444444444444444,0.2916666666666667,0.7424837043882184,0.6153846153846154,1.0,0.8958333333333334,0.23214285714285715,1.0,1.0,1.0,1.0,0.25,0.9258200997725515,1.0,0.875,1.0,0.125,1.0,1.0,1.0,1.0,0.25,0.9258200997725515,1.0,0.875,1.0,0.125,0.10026458915756264,0.0,0.6613301820475546,0.7525,0.9004166666666666
5,0.816496580927726,0.75,1.0,0.8888888888888888,0.3333333333333333,0.7424837043882184,0.6153846153846154,1.0,0.8958333333333334,0.23214285714285715,1.0,1.0,1.0,1.0,0.25,0.9258200997725515,1.0,0.875,1.0,0.125,1.0,1.0,1.0,1.0,0.25,0.9258200997725515,1.0,0.875,1.0,0.125,0.18350341907227397,0.0,0.65142237989348,0.7508333333333334,0.9054166666666666
6,0.6831300510639732,0.6,1.0,0.7777777777777778,0.4166666666666667,0.5931710140017395,0.4444444444444444,1.0,0.7916666666666666,0.32142857142857145,1.0,1.0,1.0,1.0,0.25,1.0,1.0,1.0,1.0,0.14285714285714285,1.0,1.0,1.0,1.0,0.25,1.0,1.0,1.0,1.0,0.14285714285714285,0.3168699489360268,0.0,0.6688098981239344,0.7616666666666667,0.88625
7,0.6831300510639732,0.6,1.0,0.7777777777777778,0.4166666666666667,0.6454972243679028,0.5,1.0,0.8333333333333334,0.2857142857142857,1.0,1.0,1.0,1.0,0.25,1.0,1.0,1.0,1.0,0.14285714285714285,1.0,1.0,1.0,1.0,0.25,1.0,1.0,1.0,1.0,0.14285714285714285,0.3168699489360268,0.0,0.670402929755473,0.7633333333333333,0.9033333333333333
8,0.7453559924999299,0.6666666666666666,1.0,0.8333333333333334,0.375,0.6454972243679028,0.5,1.0,0.8333333333333334,0.2857142857142857,1.0,1.0,1.0,1.0,0.25,0.9258200997725515,1.0,0.875,1.0,0.125,1.0,1.0,1.0,1.0,0.25,0.9258200997725515,1.0,0.875,1.0,0.125,0.2546440075000701,0.0,0.6368836783075827,0.715,0.8754166666666666
9,0.816496580927726,0.75,1.0,0.8888888888888888,0.3333333333333333,0.7817359599705717,0.6666666666666666,1.0,0.9166666666666666,0.21428571428571427,1.0,1.0,1.0,1.0,0.25,0.9258200997725515,1.0,0.875,1.0,0.125,1.0,1.0,1.0,1.0,0.25,0.9258200997725515,1.0,0.875,1.0,0.125,0.18350341907227397,0.0,0.665009033294733,0.7629166666666667,0.9066666666666666
10,0.7453559924999299,0.6666666666666666,1.0,0.8333333333333334,0.375,0.5931710140017395,0.4444444444444444,1.0,0.7916666666666666,0.32142857142857145,1.0,1.0,1.0,1.0,0.25,0.9258200997725515,1.0,0.875,1.0,0.125,1.0,1.0,1.0,1.0,0.25,0.9258200997725515,1.0,0.875,1.0,0.125,0.2546440075000701,0.0,0.6528050713847591,0.7529166666666667,0.90125
11,0.7453559924999299,0.6666666666666666,1.0,0.8333333333333334,0.375,0.6183469424008423,0.47058823529411764,1.0,0.8125,0.30357142857142855,1.0,1.0,1.0,1.0,0.25,1.0,1.0,1.0,1.0,0.14285714285714285,1.0,1.0,1.0,1.0,0.25,1.0,1.0,1.0,1.0,0.14285714285714285,0.2546440075000701,0.0,0.6605971222977263,0.7525,0.9145833333333333
12,0.816496580927726,0.75,1.0,0.8888888888888888,0.3333333333333333,0.674948557710553,0.5333333333333333,1.0,0.8541666666666666,0.26785714285714285,1.0,1.0,1.0,1.0,0.25,0.9258200997725515,1.0,0.875,1.0,0.125,1.0,1.0,1.0,1.0,0.25,0.9258200997725515,1.0,0.875,1.0,0.125,0.18350341907227397,0.0,0.6476151670788353,0.7475,0.90375
13,0.816496580927726,0.75,1.0,0.8888888888888888,0.3333333333333333,0.6183469424008423,0.47058823529411764,1.0,0.8125,0.30357142857142855,1.0,1.0,1.0,1.0,0.25,0.9258200997725515,1.0,0.875,1.0,0.125,1.0,1.0,1.0,1.0,0.25,0.9258200997725515,1.0,0.875,1.0,0.125,0.18350341907227397,0.0,0.6490224787277344,0.7504166666666666,0.9045833333333333
14,0.816496580927726,0.75,1.0,0.8888888888888888,0.3333333333333333,0.7817359599705717,0.6666666666666666,1.0,0.9166666666666666,0.21428571428571427,1.0,1.0,1.0,1.0,0.25,0.9258200997725515,1.0,0.875,1.0,0.125,1.0,1.0,1.0,1.0,0.25,0.9258200997725515,1.0,0.875,1.0,0.125,0.18350341907227397,0.0,0.6414931369006678,0.7416666666666667,0.8920833333333333
15,0.7453559924999299,0.6666666666666666,1.0,0.8333333333333334,0.375,0.7424837043882184,0.6153846153846154,1.0,0.8958333333333334,0.23214285714285715,1.0,1.0,1.0,1.0,0.25,0.9258200997725515,1.0,0.875,1.0,0.125,1.0,1.0,1.0,1.0,0.25,0.9258200997725515,1.0,0.875,1.0,0.125,0.2546440075000701,0.0,0.6740438286416481,0.7466666666666667,0.90875
16,0.816496580927726,0.75,1.0,0.8888888888888888,0.3333333333333333,0.7424837043882184,0.6153846153846154,1.0,0.8958333333333334,0.23214285714285715,1.0,1.0,1.0,1.0,0.25,0.9258200997725515,1.0,0.875,1.0,0.125,1.0,1.0,1.0,1.0,0.25,0.9258200997725515,1.0,0.875,1.0,0.125,0.18350341907227397,0.0,0.6534186675726076,0.7466666666666667,0.8879166666666667
