seed,cmi_threshold,do_threshold,threshold_source,threshold_fit_seed,n_train_transitions,viability_threshold,viability_threshold_source,viability_train_quantile
0,0.0009506973525234188,0.30431415091689634,TRAIN,0,2400,0.6634982750674066,TRAIN_INTACT,0.95
1,0.0009461830031682467,0.3626771015296062,TRAIN,1,2400,0.6447640484499066,TRAIN_INTACT,0.95
2,0.000960598982008687,0.385860951559001,TRAIN,2,2400,0.6413641464939314,TRAIN_INTACT,0.95
3,0.0008680163126551013,0.46325540964515405,TRAIN,3,2400,0.6478675178644724,TRAIN_INTACT,0.95
4,0.0019598977197052394,0.43372449583964606,TRAIN,4,2400,0.6613301820475546,TRAIN_INTACT,0.95
5,0.0011870103582270952,0.4079433617133609,TRAIN,5,2400,0.65142237989348,TRAIN_INTACT,0.95
6,0.0006725503654564308,0.3327179279906761,TRAIN,6,2400,0.6688098981239344,TRAIN_INTACT,0.95
7,0.0011557046726878991,0.3391560031125653,TRAIN,7,2400,0.670402929755473,TRAIN_INTACT,0.95
8,0.0013058815198347335,0.36125045331479444,TRAIN,8,2400,0.6368836783075827,TRAIN_INTACT,0.95
9,0.0014616144155963169,0.361249305638849,TRAIN,9,2400,0.665009033294733,TRAIN_INTACT,0.95
10,0.0006742956154007679,0.391818696430297,TRAIN,10,2400,0.6528050713847591,TRAIN_INTACT,0.95
11,0.0008715110607773809,0.3220490733654732,TRAIN,11,2400,0.6605971222977263,TRAIN_INTACT,0.95
12,0.0011234560747704757,0.40660024996528515,TRAIN,12,2400,0.6476151670788353,TRAIN_INTACT,0.95
13,0.0013035111300224974,0.35845659842732935,TRAIN,13,2400,0.6490224787277344,TRAIN_INTACT,0.95
14,0.000960929317005511,0.3313997005845211,TRAIN,14,2400,0.6414931369006678,TRAIN_INTACT,0.95
15,0.0017675205808663516,0.39301657573017523,TRAIN,15,2400,0.6740438286416481,TRAIN_INTACT,0.95
16,0.001214408397689831,0.35880167408863634,TRAIN,16,2400,0.6534186675726076,TRAIN_INTACT,0.95
17,0.000941078060088991,0.36316892196287787,TRAIN,17,2400,0.6705362518213785,TRAIN_INTACT,0.95
18,0.0014950844806414574,0.4141109424140903,TRAIN,18,2400,0.6604473247125351,TRAIN_INTACT,0.95
19,0.0019478303788440974,0.3865295392077272,TRAIN,19,2400,0.6657491669887858,TRAIN_INTACT,0.95
20,0.0010514517219918937,0.36397794501153546,TRAIN,20,2400,0.6602895816004886,TRAIN_INTACT,0.95
21,0.0017145981181871219,0.43234088751940625,TRAIN,21,2400,0.6564514032985497,TRAIN_INTACT,0.95
22,0.0010117820894214495,0.33062084603364783,TRAIN,22,2400,0.6682192203650771,TRAIN_INTACT,0.95
23,0.0009731546555466083,0.3935149974530125,TRAIN,23,2400,0.6641573059252468,TRAIN_INTACT,0.95
24,0.002051610934229295,0.38501958582335516,TRAIN,24,2400,0.6713076705308821,TRAIN_INTACT,0.95
25,0.0013513859259684632,0.39966374693340717,TRAIN,25,2400,0.663160199434081,TRAIN_INTACT,0.95
26,0.0012326777821658915,0.3926544265276263,TRAIN,26,2400,0.6690261640519062,TRAIN_INTACT,0.95
27,0.001238404404366578,0.3550226742425613,TRAIN,27,2400,0.6623309233849669,TRAIN_INTACT,0.95
28,0.0009829893367564832,0.3975212376234644,TRAIN,28,2400,0.6635711258230879,TRAIN_INTACT,0.95
29,0.0005861973901553712,0.3409821841199041,TRAIN,29,2400,0.6504745952853938,TRAIN_INTACT,0.95
