seed,candidate_ari,candidate_macro_f1,candidate_boundary_mcc,candidate_selected_k,candidate_silhouette,candidate_largest_cluster_fraction,candidate_boundary_relation_rate,random_ari,random_macro_f1,random_boundary_mcc,random_selected_k,random_silhouette,random_largest_cluster_fraction,random_boundary_relation_rate,correlation_ari,correlation_macro_f1,correlation_boundary_mcc,correlation_selected_k,correlation_silhouette,correlation_largest_cluster_fraction,correlation_boundary_relation_rate,do_profile_ari,do_profile_macro_f1,do_profile_boundary_mcc,do_profile_selected_k,do_profile_silhouette,do_profile_largest_cluster_fraction,do_profile_boundary_relation_rate,best_baseline_ari,delta_ari_vs_best,candidate_graph_mcc,candidate_predicted_edge_rate,oracle_partition_do_graph_mcc
0,-0.02857142857142857,0.3666666666666667,-0.16666666666666666,2,0.1870208366359154,0.875,0.25,0.058823529411764705,0.6,0.125,5,0.0,0.25,0.42857142857142855,0.058823529411764705,0.6,-0.16666666666666666,5,0.13346008768507486,0.25,0.42857142857142855,-0.02857142857142857,0.3666666666666667,-0.16666666666666666,2,0.19132042292697996,0.875,0.25,0.058823529411764705,-0.08739495798319327,1.0,0.14285714285714285,0.9329364235414814
1,0.08571428571428572,0.4222222222222222,0.5,2,0.2104686277107701,0.875,0.25,0.5,0.7777777777777777,-0.062017367294604234,4,0.0,0.375,0.5357142857142857,0.058823529411764705,0.6,-0.16666666666666666,5,0.13075080724289764,0.25,0.42857142857142855,-0.18181818181818182,0.48888888888888893,0.16666666666666666,3,0.3070181289755636,0.5,0.5714285714285714,0.5,-0.41428571428571426,1.0,0.14285714285714285,1.0
2,0.08571428571428572,0.4222222222222222,0.5,2,0.17162080220829204,0.875,0.25,0.2222222222222222,0.7111111111111111,-0.062017367294604234,5,0.0,0.375,0.5357142857142857,-0.2222222222222222,0.5,0.125,5,0.0786619453429728,0.375,0.42857142857142855,-0.02857142857142857,0.3666666666666667,-0.16666666666666666,2,0.231243503926574,0.875,0.25,0.2222222222222222,-0.1365079365079365,1.0,0.14285714285714285,1.0
3,0.08571428571428572,0.4222222222222222,0.5,2,0.1933291461248906,0.875,0.25,0.15789473684210525,0.7000000000000001,0.516811394121702,4,0.0,0.375,0.5357142857142857,0.058823529411764705,0.6,-0.16666666666666666,5,0.08256770434110303,0.25,0.42857142857142855,-0.05263157894736842,0.5777777777777778,-0.062017367294604234,4,0.20757200609209064,0.375,0.5357142857142857,0.15789473684210525,-0.07218045112781954,0.9258200997725515,0.125,0.9258200997725515
4,0.08571428571428572,0.4222222222222222,0.5,2,0.2683165063555092,0.875,0.25,-0.17647058823529413,0.5222222222222221,-0.16666666666666666,5,0.0,0.25,0.42857142857142855,0.058823529411764705,0.6,-0.16666666666666666,5,0.11605618125932593,0.25,0.42857142857142855,0.08571428571428572,0.4222222222222222,0.5,2,0.15447458072375458,0.875,0.25,0.08571428571428572,0.0,1.0,0.14285714285714285,1.0
5,-0.02857142857142857,0.3666666666666667,-0.16666666666666666,2,0.13166301519601598,0.875,0.25,-0.2631578947368421,0.4666666666666666,-0.062017367294604234,4,0.0,0.375,0.5357142857142857,0.058823529411764705,0.6,-0.16666666666666666,5,0.10142242809134187,0.25,0.42857142857142855,-0.02857142857142857,0.3666666666666667,-0.16666666666666666,2,0.19037267225782073,0.875,0.25,0.058823529411764705,-0.08739495798319327,1.0,0.14285714285714285,0.9329364235414814
6,0.08571428571428572,0.4222222222222222,0.5,2,0.1556847313916995,0.875,0.25,0.3076923076923077,0.5079365079365079,0.16666666666666666,2,0.0,0.5,0.5714285714285714,0.058823529411764705,0.6,0.125,5,0.1124871514729838,0.25,0.42857142857142855,-0.02857142857142857,0.3666666666666667,-0.16666666666666666,2,0.1750235243438609,0.875,0.25,0.3076923076923077,-0.221978021978022,1.0,0.14285714285714285,0.9329364235414814
7,0.08571428571428572,0.4222222222222222,0.5,2,0.14861499748901708,0.875,0.25,-0.2631578947368421,0.48888888888888893,-0.062017367294604234,4,0.0,0.375,0.5357142857142857,0.058823529411764705,0.6,-0.16666666666666666,5,0.11299103948601703,0.25,0.42857142857142855,-0.15384615384615385,0.38095238095238093,-0.125,2,0.18387340861942167,0.5,0.5714285714285714,0.058823529411764705,0.02689075630252101,1.0,0.14285714285714285,0.7817359599705717
8,-0.02857142857142857,0.3666666666666667,-0.16666666666666666,2,0.13623568602330374,0.875,0.25,-0.18518518518518517,0.3,-0.062017367294604234,2,0.0,0.625,0.5357142857142857,0.058823529411764705,0.6,-0.16666666666666666,5,0.11422953754842428,0.25,0.42857142857142855,-0.02857142857142857,0.3666666666666667,-0.16666666666666666,2,0.18216426947346204,0.875,0.25,0.058823529411764705,-0.08739495798319327,1.0,0.14285714285714285,0.7817359599705717
9,0.08571428571428572,0.4222222222222222,0.5,2,0.21212970038757065,0.875,0.25,0.0,0.611111111111111,-0.062017367294604234,5,0.0,0.375,0.5357142857142857,0.058823529411764705,0.6,-0.16666666666666666,5,0.09550676673940284,0.25,0.42857142857142855,-0.17647058823529413,0.5222222222222221,0.125,5,0.2866599078194303,0.25,0.42857142857142855,0.058823529411764705,0.02689075630252101,1.0,0.14285714285714285,1.0
